mode,route_id,o_zone_id,d_zone_id,unique_route_id,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,volume
1,1,2,14,2,0.0707573,2;1;3;12;13;24;23;14,3;2;7;37;39;76;71,27,43.443,27,46.9653,92_235,7.07573
1,4,2,14,4,0.89021,2;1;3;4;11;14,3;2;6;10;34,24,38.616,24,35.2122,35_55,89.021
1,17,2,15,5,0.0513306,2;1;3;4;11;14;15,3;2;6;10;34;41,29,46.661,29,47.2194,50_96,5.13306
1,0,2,15,1,0.0184019,2;6;8;16;17;19;15,4;16;22;49;53;57,19,30.571,19,51.8317,83_201,1.84019
1,1,2,15,2,0.252387,2;1;3;4;5;9;10;15,3;2;6;9;13;25;28,30,48.27,30,47.0388,49_86,25.2387
1,2,2,15,3,0.665485,2;6;5;9;10;15,4;15;13;25;28,23,37.007,23,46.8149,47_85,66.5485
1,5,2,15,4,0.0123949,2;1;3;12;11;10;15,3;2;7;36;32;28,31,49.879,31,53.7862,54_108,1.23949
1,0,2,16,1,0.912907,2;6;8;16,4;16;22,12,19.308,12,31.6206,32_42,365.163
1,1,2,16,2,0.0083645,2;1;3;4;5;9;8;7;18;16,3;2;6;9;13;24;20;18;55,39,62.751,39,54.2067,73_150,3.3458
1,2,2,16,3,0.0787284,2;6;8;7;18;16,4;16;20;18;55,15,24.135,15,31.9796,57_113,31.4913
1,0,2,17,1,0.912907,2;6;8;16;17,4;16;22;49,14,22.526,14,40.0344,49_91,182.581
1,1,2,17,2,0.0313725,2;1;3;4;5;9;10;17,3;2;6;9;13;25;30,32,51.488,32,51.0676,51_88,6.2745
1,2,2,17,3,0.00892213,2;6;5;9;10;17,4;15;13;25;30,25,40.225,25,50.8437,49_87,1.78443
1,9,2,17,4,0.0467982,2;6;8;7;18;16;17,4;16;20;18;55;49,17,27.353,17,40.3933,74_162,9.35965
1,1,2,19,2,0.101367,2;1;3;4;5;9;10;15;19,3;2;6;9;13;25;28;45,33,53.097,33,51.2176,68_131,10.1367
1,0,2,19,1,0.0184019,2;6;8;16;17;19,4;16;22;49;53,16,25.744,16,47.5787,68_144,1.84019
1,2,2,19,3,0.032605,2;6;5;9;10;15;19,4;15;13;25;28;45,26,41.834,26,50.9937,66_130,3.2605
1,5,2,19,4,0.0123949,2;1;3;12;11;10;15;19,3;2;7;36;32;28;45,34,54.706,34,57.965,73_153,1.23949
1,8,2,19,5,0.835231,2;6;8;7;18;20;19,4;16;20;18;56;61,20,32.18,20,42.8924,80_175,83.5231
1,0,2,20,1,0.9834,2;6;8;7;18;20,4;16;20;18;56,16,25.744,16,33.0705,61_114,98.34
1,1,2,20,2,0.0083645,2;1;3;4;5;9;10;15;19;20,3;2;6;9;13;25;28;45;59,37,59.533,37,60.9973,88_190,0.83645
1,3,2,20,3,0.00823581,2;6;8;16;18;20,4;16;22;50;56,19,30.571,19,39.1515,70_148,0.823581
1,2,2,22,3,0.00892213,2;6;8;7;18;20;21;22,4;16;20;18;56;62;65,24,38.616,24,46.4669,104_241,0.892213
1,0,2,22,1,0.86908,2;6;8;7;18;20;22,4;16;20;18;56;63,21,33.789,21,41.2342,83_177,86.908
1,1,2,22,2,0.0289952,2;1;3;12;13;24;23;22,3;2;7;37;39;76;72,27,43.443,27,50.1308,100_236,2.89952
1,4,2,22,4,0.0930026,2;1;3;12;13;24;21;22,3;2;7;37;39;75;65,26,41.834,26,49.4645,98_228,9.30026
1,0,3,1,1,1,3;1,5,4,6.436,4,4.01068,4_5,100
1,0,3,2,1,1,3;1;2,5;1,10,16.09,10,10.0119,6_6,100
1,0,3,4,1,1,3;4,6,4,6.436,4,4.34409,7_6,200
1,0,3,5,1,1,3;4;5,6;9,6,9.654,6,6.71168,12_15,100
1,0,3,6,1,0.605934,3;4;5;6,6;9;12,10,16.09,10,15.5235,18_27,181.78
1,1,3,6,2,0.394066,3;1;2;6,5;1;4,15,24.135,15,16.6899,12_10,118.22
1,0,3,7,1,0.605934,3;4;5;6;8;7,6;9;12;16;20,15,24.135,15,35.5617,33_63,60.5934
1,1,3,7,2,0.178602,3;4;5;9;8;7,6;9;13;24;20,24,38.616,24,38.9324,36_72,17.8602
1,2,3,7,3,0.215464,3;1;2;6;8;7,5;1;4;16;20,20,32.18,20,36.7282,27_46,21.5464
1,0,3,8,1,0.605934,3;4;5;6;8,6;9;12;16,12,19.308,12,29.8097,26_43,121.187
1,1,3,8,2,0.178602,3;4;5;9;8,6;9;13;24,21,33.789,21,33.1804,29_52,35.7204
1,2,3,8,3,0.215464,3;1;2;6;8,5;1;4;16,17,27.353,17,30.9761,20_26,43.0928
1,0,3,9,1,1,3;4;5;9,6;9;13,11,17.699,11,17.2504,21_28,100
1,0,3,10,1,0.987605,3;4;5;9;10,6;9;13;25,14,22.526,14,23.2136,31_53,296.282
1,5,3,10,2,0.0123949,3;12;11;10,7;36;32,15,24.135,15,29.961,36_75,3.71846
1,0,3,11,1,0.970447,3;4;11,6;10,10,16.09,10,12.1638,18_16,291.134
1,2,3,11,2,0.0295528,3;12;11,7;36,10,16.09,10,17.7758,26_43,8.86584
1,0,3,12,1,1,3;12,7,4,6.436,4,4.02887,15_7,200
1,0,3,13,1,1,3;12;13,7;37,7,11.263,7,7.06301,28_44,100
1,3,3,14,3,0.0206307,3;12;11;14,7;36;34,14,22.526,14,30.8133,40_77,2.06307
1,0,3,14,1,0.908612,3;4;11;14,6;10;34,14,22.526,14,25.2013,32_50,90.8612
1,1,3,14,2,0.0707573,3;12;13;24;23;14,7;37;39;76;71,17,27.353,17,36.9544,89_230,7.07573
1,1,3,15,2,0.863093,3;4;5;9;10;15,6;9;13;25;28,20,32.18,20,37.0279,46_81,86.3093
1,0,3,15,1,0.124512,3;4;11;14;15,6;10;34;41,19,30.571,19,37.2085,47_91,12.4512
1,5,3,15,3,0.0123949,3;12;11;10;15,7;36;32;28,21,33.789,21,43.7753,51_103,1.23949
1,0,3,16,1,0.536128,3;4;5;6;8;16,6;9;12;16;22,17,27.353,17,40.4661,42_65,107.226
1,3,3,16,4,0.206542,3;1;2;6;8;16,5;1;4;16;22,22,35.398,22,41.6325,36_48,41.3084
1,1,3,16,2,0.0083645,3;4;5;9;8;7;18;16,6;9;13;24;20;18;55,29,46.661,29,44.1958,70_145,1.6729
1,2,3,16,3,0.00892213,3;1;2;6;8;7;18;16,5;1;4;16;20;18;55,25,40.225,25,41.9915,61_119,1.78443
1,4,3,16,5,0.023008,3;4;5;9;10;16,6;9;13;25;29,18,28.962,18,44.2859,47_82,4.6016
1,7,3,16,6,0.170237,3;4;5;9;8;16,6;9;13;24;22,26,41.834,26,43.8368,45_74,34.0475
1,9,3,16,7,0.0467982,3;4;5;6;8;7;18;16,6;9;12;16;20;18;55,20,32.18,20,40.8251,67_136,9.35965
1,5,3,17,3,0.0123949,3;12;11;10;17,7;36;32;30,23,37.007,23,47.8041,53_105,1.23949
1,0,3,17,1,0.0184019,3;4;5;6;8;16;17,6;9;12;16;22;49,19,30.571,19,48.8798,59_114,1.84019
1,1,3,17,2,0.969203,3;4;5;9;10;17,6;9;13;25;30,22,35.398,22,41.0567,48_83,96.9203
1,0,3,22,1,0.619521,3;12;13;24;21;22,7;37;39;75;65,16,25.744,16,39.4536,95_223,61.9521
1,1,3,22,2,0.380479,3;12;13;24;23;22,7;37;39;76;72,17,27.353,17,40.1199,97_231,38.0479
1,0,3,23,1,1,3;12;13;24;23,7;37;39;76,13,20.917,13,28.0785,75_159,100
1,0,4,1,1,1,4;3;1,8;5,8,12.872,8,8.35225,8_13,500
1,0,4,2,1,0.0184019,4;5;6;2,9;12;14,11,17.699,11,17.6758,17_35,3.68038
1,1,4,2,2,0.981598,4;3;1;2,8;5;1,14,22.526,14,14.3535,10_14,196.32
1,0,4,3,1,1,4;3,8,4,6.436,4,4.34158,7_8,200
1,0,4,5,1,1,4;5,9,2,3.218,2,2.36759,9_9,500
1,0,4,6,1,1,4;5;6,9;12,6,9.654,6,11.1794,15_21,400
1,0,4,7,1,0.727648,4;5;6;8;7,9;12;16;20,11,17.699,11,31.2176,30_57,291.059
1,1,4,7,2,0.272352,4;5;9;8;7,9;13;24;20,20,32.18,20,34.5883,33_66,108.941
1,0,4,8,1,0.727648,4;5;6;8,9;12;16,8,12.872,8,25.4656,23_37,509.354
1,1,4,8,2,0.272352,4;5;9;8,9;13;24,17,27.353,17,28.8363,26_46,190.646
1,0,4,9,1,1,4;5;9,9;13,7,11.263,7,12.9063,18_22,700
1,0,4,10,1,0.987605,4;5;9;10,9;13;25,10,16.09,10,18.8695,28_47,1185.13
1,5,4,10,2,0.0123949,4;11;10,10;32,11,17.699,11,20.0049,25_42,14.8738
1,0,4,11,1,0.991078,4;11,10,6,9.654,6,7.81971,15_10,1387.51
1,2,4,11,2,0.00892213,4;3;12;11,8;7;36,14,22.526,14,22.1174,30_51,12.491
1,0,4,12,1,1,4;3;12,8;7,8,12.872,8,8.37045,19_15,600
1,0,4,13,1,1,4;3;12;13,8;7;37,11,17.699,11,11.4046,32_52,600
1,0,4,14,1,0.967266,4;11;14,10;34,10,16.09,10,20.8572,29_44,483.633
1,2,4,14,3,0.00892213,4;3;12;13;24;23;14,8;7;37;39;76;71,21,33.789,21,41.296,93_238,4.46106
1,1,4,14,2,0.0238116,4;5;9;10;15;14,9;13;25;28;44,21,33.789,21,46.9816,57_119,11.9058
1,5,4,15,3,0.0123949,4;11;10;15,10;32;28,17,27.353,17,33.8192,40_70,6.19744
1,0,4,15,1,0.124512,4;11;14;15,10;34;41,15,24.135,15,32.8644,44_85,62.2561
1,1,4,15,2,0.863093,4;5;9;10;15,9;13;25;28,16,25.744,16,32.6838,43_75,431.546
1,0,4,16,1,0.64892,4;5;6;8;16,9;12;16;22,13,20.917,13,36.122,39_59,519.136
1,1,4,16,2,0.0083645,4;5;9;8;7;18;16,9;13;24;20;18;55,25,40.225,25,39.8517,67_139,6.6916
1,2,4,16,3,0.0557204,4;5;6;8;7;18;16,9;12;16;20;18;55,16,25.744,16,36.481,64_130,44.5763
1,4,4,16,4,0.023008,4;5;9;10;16,9;13;25;29,14,22.526,14,39.9418,44_76,18.4064
1,7,4,16,5,0.263987,4;5;9;8;16,9;13;24;22,22,35.398,22,39.4927,42_68,211.19
1,0,4,17,1,0.0184019,4;5;6;8;16;17,9;12;16;22;49,15,24.135,15,44.5357,56_108,9.20095
1,1,4,17,2,0.969203,4;5;9;10;17,9;13;25;30,18,28.962,18,36.7126,45_77,484.602
1,5,4,17,3,0.0123949,4;11;10;17,10;32;30,19,30.571,19,37.848,42_72,6.19744
1,0,4,18,1,0.719412,4;5;6;8;7;18,9;12;16;20;18,13,20.917,13,33.2754,48_75,71.9412
1,1,4,18,2,0.272352,4;5;9;8;7;18,9;13;24;20;18,22,35.398,22,36.646,51_84,27.2352
1,3,4,18,3,0.00823581,4;5;6;8;16;18,9;12;16;22;50,16,25.744,16,39.3564,57_109,0.823581
1,0,4,19,1,0.0184019,4;5;6;8;16;17;19,9;12;16;22;49;53,17,27.353,17,52.0801,75_161,3.68038
1,1,4,19,2,0.863093,4;5;9;10;15;19,9;13;25;28;45,19,30.571,19,36.8626,62_120,172.619
1,11,4,19,4,0.10611,4;11;14;15;19,10;34;41;45,18,28.962,18,37.0432,63_130,21.2221
1,5,4,19,3,0.0123949,4;11;10;15;19,10;32;28;45,20,32.18,20,37.998,59_115,2.47897
1,1,4,20,2,0.0083645,4;5;9;10;15;19;20,9;13;25;28;45;59,23,37.007,23,46.6423,82_179,2.50935
1,0,4,20,1,0.719412,4;5;6;8;7;18;20,9;12;16;20;18;56,17,27.353,17,37.5719,68_131,215.824
1,3,4,20,3,0.00823581,4;5;6;8;16;18;20,9;12;16;22;50;56,20,32.18,20,43.6529,77_165,2.47074
1,7,4,20,4,0.263987,4;5;9;8;7;18;20,9;13;24;20;18;56,26,41.834,26,40.9426,71_140,79.1962
1,0,4,21,1,0.991636,4;3;12;13;24;21,8;7;37;39;75,18,28.962,18,39.229,77_166,198.327
1,1,4,21,2,0.0083645,4;5;9;10;15;19;20;21,9;13;25;28;45;59;62,29,46.661,29,55.4725,103_241,1.6729
1,0,4,22,1,0.0731817,4;11;14;15;22,10;34;41;46,18,28.962,18,41.4321,66_131,29.2727
1,3,4,22,4,0.118182,4;11;14;23;22,10;34;42;72,18,28.962,18,42.203,74_158,47.2727
1,1,4,22,2,0.0083645,4;5;9;10;15;19;20;22,9;13;25;28;45;59;63,28,45.052,28,54.806,104_242,3.3458
1,2,4,22,3,0.746134,4;5;9;10;15;22,9;13;25;28;46,19,30.571,19,41.2515,65_121,298.454
1,15,4,22,5,0.0541377,4;3;12;13;24;21;22,8;7;37;39;75;65,20,32.18,20,43.7952,99_231,21.6551
1,0,4,23,1,0.616862,4;11;14;23,10;34;42,14,22.526,14,30.1616,52_86,308.431
1,1,4,23,2,0.383138,4;3;12;13;24;23,8;7;37;39;76,17,27.353,17,32.4201,79_167,191.569
1,0,4,24,1,1,4;3;12;13;24,8;7;37;39,15,24.135,15,28.5459,56_91,200
1,0,5,1,1,1,5;4;3;1,11;8;5,10,16.09,10,10.7133,13_24,200
1,0,5,2,1,0.703225,5;6;2,12;14,9,14.481,9,15.3082,13_26,70.3225
1,1,5,2,2,0.296775,5;4;3;1;2,11;8;5;1,16,25.744,16,16.7145,15_25,29.6775
1,0,5,3,1,1,5;4;3,11;8,6,9.654,6,6.70261,12_19,100
1,0,5,4,1,1,5;4,11,2,3.218,2,2.36104,9_11,500
1,0,5,6,1,1,5;6,12,4,6.436,4,8.81184,11_12,200
1,0,5,7,1,0.727648,5;6;8;7,12;16;20,9,14.481,9,28.8501,26_48,145.53
1,1,5,7,2,0.272352,5;9;8;7,13;24;20,18,28.962,18,32.2207,29_57,54.4704
1,0,5,8,1,0.727648,5;6;8,12;16,6,9.654,6,23.098,19_28,363.824
1,1,5,8,2,0.272352,5;9;8,13;24,15,24.135,15,26.4687,22_37,136.176
1,0,5,9,1,1,5;9,13,5,8.045,5,10.5387,14_13,800
1,0,5,10,1,0.987605,5;9;10,13;25,8,12.872,8,16.5019,24_38,987.605
1,5,5,10,2,0.0123949,5;4;11;10,11;10;32,13,20.917,13,22.3659,30_53,12.3949
1,0,5,11,1,0.991078,5;4;11,11;10,8,12.872,8,10.1807,20_21,495.539
1,2,5,11,2,0.00892213,5;4;3;12;11,11;8;7;36,16,25.744,16,24.4784,35_62,4.46106
1,0,5,12,1,1,5;4;3;12,11;8;7,10,16.09,10,10.7315,24_26,200
1,0,5,13,1,1,5;4;3;12;13,11;8;7;37,13,20.917,13,13.7656,37_63,200
1,0,5,14,1,0.967266,5;4;11;14,11;10;34,12,19.308,12,23.2182,34_55,96.7266
1,1,5,14,2,0.0327337,5;9;10;15;14,13;25;28;44,19,30.571,19,44.614,53_110,3.27337
1,0,5,15,1,0.987605,5;9;10;15,13;25;28,14,22.526,14,30.3162,39_66,197.521
1,5,5,15,2,0.0123949,5;4;11;10;15,11;10;32;28,19,30.571,19,36.1803,45_81,2.47897
1,0,5,16,1,0.64892,5;6;8;16,12;16;22,11,17.699,11,33.7544,35_50,324.46
1,1,5,16,2,0.0083645,5;9;8;7;18;16,13;24;20;18;55,23,37.007,23,37.4841,63_130,4.18225
1,2,5,16,3,0.0557204,5;6;8;7;18;16,12;16;20;18;55,14,22.526,14,34.1134,60_121,27.8602
1,7,5,16,5,0.263987,5;9;8;16,13;24;22,20,32.18,20,37.1251,38_59,131.994
1,4,5,16,4,0.023008,5;9;10;16,13;25;29,12,19.308,12,37.5742,40_67,11.504
1,1,5,17,2,0.969203,5;9;10;17,13;25;30,16,25.744,16,34.345,41_68,193.841
1,0,5,17,1,0.0184019,5;6;8;16;17,12;16;22;49,13,20.917,13,42.1682,52_99,3.68038
1,5,5,17,3,0.0123949,5;4;11;10;17,11;10;32;30,21,33.789,21,40.2091,47_83,2.47897
1,0,5,19,1,0.0184019,5;6;8;16;17;19,12;16;22;49;53,15,24.135,15,49.7125,71_152,1.84019
1,1,5,19,2,0.969203,5;9;10;15;19,13;25;28;45,17,27.353,17,34.495,58_111,96.9203
1,5,5,19,3,0.0123949,5;4;11;10;15;19,11;10;32;28;45,22,35.398,22,40.3591,64_126,1.23949
1,0,5,20,1,0.719412,5;6;8;7;18;20,12;16;20;18;56,15,24.135,15,35.2043,64_122,71.9412
1,1,5,20,2,0.0083645,5;9;10;15;19;20,13;25;28;45;59,21,33.789,21,44.2747,78_170,0.83645
1,3,5,20,3,0.00823581,5;6;8;16;18;20,12;16;22;50;56,18,28.962,18,41.2853,73_156,0.823581
1,7,5,20,4,0.263987,5;9;8;7;18;20,13;24;20;18;56,24,38.616,24,38.575,67_131,26.3987
1,0,5,21,1,0.135264,5;9;10;15;22;21,13;25;28;46;69,19,30.571,19,43.3778,82_181,13.5264
1,1,5,21,2,0.0083645,5;9;10;15;19;20;21,13;25;28;45;59;62,27,43.443,27,53.1049,99_232,0.83645
1,2,5,21,3,0.00892213,5;6;8;7;18;20;21,12;16;20;18;56;62,21,33.789,21,44.0345,85_184,0.892213
1,3,5,21,4,0.847449,5;4;3;12;13;24;21,11;8;7;37;39;75,20,32.18,20,41.5901,82_177,84.7449
1,1,5,22,2,0.0083645,5;9;10;15;19;20;22,13;25;28;45;59;63,26,41.834,26,52.4384,100_233,1.6729
1,0,5,22,1,0.979241,5;9;10;15;22,13;25;28;46,17,27.353,17,38.8839,61_112,195.848
1,5,5,22,3,0.0123949,5;4;11;14;23;22,11;10;34;42;72,20,32.18,20,44.564,79_169,2.47897
1,1,5,23,2,0.383138,5;4;3;12;13;24;23,11;8;7;37;39;76,19,30.571,19,34.7812,84_178,38.3138
1,0,5,23,1,0.616862,5;4;11;14;23,11;10;34;42,16,25.744,16,32.5226,57_97,61.6862
1,0,6,1,1,1,6;2;1,14;3,11,17.699,11,12.4974,9_17,300
1,0,6,2,1,1,6;2,14,5,8.045,5,6.49632,8_14,400
1,0,6,3,1,0.649197,6;5;4;3,15;11;8,10,16.09,10,16.5232,18_34,194.759
1,1,6,3,2,0.350803,6;2;1;3,14;3;2,15,24.135,15,16.5072,12_19,105.241
1,0,6,4,1,0.976992,6;5;4,15;11,6,9.654,6,12.1817,15_26,390.797
1,4,6,4,2,0.023008,6;2;1;3;4,14;3;2;6,19,30.571,19,20.8513,16_25,9.20319
1,0,6,5,1,1,6;5,15,4,6.436,4,9.82061,11_15,200
1,0,6,7,1,0.991636,6;8;7,16;20,5,8.045,5,20.0382,21_36,396.654
1,1,6,7,2,0.0083645,6;5;9;8;7,15;13;24;20,22,35.398,22,42.0413,35_72,3.3458
1,0,6,8,1,0.991636,6;8,16,2,3.218,2,14.2862,14_16,793.308
1,1,6,8,2,0.0083645,6;5;9;8,15;13;24,19,30.571,19,36.2893,28_52,6.6916
1,0,6,9,1,1,6;5;9,15;13,9,14.481,9,20.3594,20_28,400
1,0,6,10,1,0.0184019,6;8;16;10,16;22;48,11,17.699,11,46.2689,40_86,14.7215
1,1,6,10,2,0.969203,6;5;9;10,15;13;25,12,19.308,12,26.3225,30_53,775.363
1,5,6,10,3,0.0123949,6;5;4;11;10,15;11;10;32,17,27.353,17,32.1866,36_68,9.9159
1,4,6,11,3,0.023008,6;2;1;3;4;11,14;3;2;6;10,25,40.225,25,28.671,27_35,9.20319
1,0,6,11,1,0.96807,6;5;4;11,15;11;10,12,19.308,12,20.0014,26_36,387.228
1,2,6,11,2,0.00892213,6;2;1;3;12;11,14;3;2;7;36,25,40.225,25,34.283,35_62,3.56885
1,1,6,12,2,0.350803,6;2;1;3;12,14;3;2;7,19,30.571,19,20.5361,24_26,70.1606
1,0,6,12,1,0.649197,6;5;4;3;12,15;11;8;7,14,22.526,14,20.5521,30_41,129.839
1,0,6,13,1,0.649197,6;5;4;3;12;13,15;11;8;7;37,17,27.353,17,23.5862,43_78,129.839
1,1,6,13,2,0.350803,6;2;1;3;12;13,14;3;2;7;37,22,35.398,22,23.5702,37_63,70.1606
1,0,6,14,1,0.944258,6;5;4;11;14,15;11;10;34,16,25.744,16,33.0389,40_70,94.4258
1,2,6,14,3,0.00892213,6;8;7;18;20;21;24;23;14,16;20;18;56;62;66;76;71,26,41.834,26,58.9808,141_385,0.892213
